zone_temp_id;temporary_JJ96-211;register;act_number;warning
59386;33138;JJ176;2;FOLIO vide ou non reconnu dans Acts CSV
59387;33138;JJ176;2;FOLIO vide ou non reconnu dans Acts CSV
59388;33139;JJ176;3;FOLIO vide ou non reconnu dans Acts CSV
59389;33139;JJ176;3;FOLIO vide ou non reconnu dans Acts CSV
59390;33140;JJ176;4;
59391;33140;JJ176;4;
59392;33141;JJ176;5;FOLIO vide ou non reconnu dans Acts CSV
59393;33141;JJ176;5;FOLIO vide ou non reconnu dans Acts CSV
59394;33141;JJ176;5;FOLIO vide ou non reconnu dans Acts CSV
59395;33142;JJ176;6;FOLIO vide ou non reconnu dans Acts CSV
59396;33142;JJ176;6;FOLIO vide ou non reconnu dans Acts CSV
59397;33143;JJ176;7;FOLIO vide ou non reconnu dans Acts CSV
59398;33144;JJ176;8;FOLIO vide ou non reconnu dans Acts CSV
59399;33144;JJ176;8;FOLIO vide ou non reconnu dans Acts CSV
59400;33145;JJ176;9;FOLIO vide ou non reconnu dans Acts CSV
59401;33145;JJ176;9;FOLIO vide ou non reconnu dans Acts CSV
59402;33146;JJ176;10;FOLIO vide ou non reconnu dans Acts CSV
59403;33146;JJ176;10;FOLIO vide ou non reconnu dans Acts CSV
59404;33147;JJ176;11;
59405;33147;JJ176;11;
59406;33147;JJ176;11;
59407;33148;JJ176;12;
59408;33148;JJ176;12;
59409;33149;JJ176;13;FOLIO vide ou non reconnu dans Acts CSV
59410;33149;JJ176;13;FOLIO vide ou non reconnu dans Acts CSV
59411;33150;JJ176;14;FOLIO vide ou non reconnu dans Acts CSV
59412;33150;JJ176;14;FOLIO vide ou non reconnu dans Acts CSV
59413;33151;JJ176;15;FOLIO vide ou non reconnu dans Acts CSV
59414;33151;JJ176;15;FOLIO vide ou non reconnu dans Acts CSV
59415;33152;JJ176;16;FOLIO vide ou non reconnu dans Acts CSV
59416;33152;JJ176;16;FOLIO vide ou non reconnu dans Acts CSV
59417;33152;JJ176;16;FOLIO vide ou non reconnu dans Acts CSV
59418;33153;JJ176;17;FOLIO vide ou non reconnu dans Acts CSV
59419;33153;JJ176;17;FOLIO vide ou non reconnu dans Acts CSV
59420;33154;JJ176;18;FOLIO vide ou non reconnu dans Acts CSV
59421;33154;JJ176;18;FOLIO vide ou non reconnu dans Acts CSV
59422;33155;JJ176;19;FOLIO vide ou non reconnu dans Acts CSV
59423;33155;JJ176;19;FOLIO vide ou non reconnu dans Acts CSV
59424;33156;JJ176;20;FOLIO vide ou non reconnu dans Acts CSV
59425;33156;JJ176;20;FOLIO vide ou non reconnu dans Acts CSV
59426;33157;JJ176;21;FOLIO vide ou non reconnu dans Acts CSV
59427;33158;JJ176;22;FOLIO vide ou non reconnu dans Acts CSV
59428;33158;JJ176;22;FOLIO vide ou non reconnu dans Acts CSV
59429;33159;JJ176;23;FOLIO vide ou non reconnu dans Acts CSV
59430;33159;JJ176;23;FOLIO vide ou non reconnu dans Acts CSV
59431;33160;JJ176;24;FOLIO vide ou non reconnu dans Acts CSV
59432;33160;JJ176;24;FOLIO vide ou non reconnu dans Acts CSV
59433;33161;JJ176;25;FOLIO vide ou non reconnu dans Acts CSV
59434;33161;JJ176;25;FOLIO vide ou non reconnu dans Acts CSV
59435;33162;JJ176;26;FOLIO vide ou non reconnu dans Acts CSV
59436;33162;JJ176;26;FOLIO vide ou non reconnu dans Acts CSV
59437;33163;JJ176;27;FOLIO vide ou non reconnu dans Acts CSV
59438;33163;JJ176;27;FOLIO vide ou non reconnu dans Acts CSV
59439;33164;JJ176;28;FOLIO vide ou non reconnu dans Acts CSV
59440;33164;JJ176;28;FOLIO vide ou non reconnu dans Acts CSV
59441;33164;JJ176;28;FOLIO vide ou non reconnu dans Acts CSV
59442;33165;JJ176;29;FOLIO vide ou non reconnu dans Acts CSV
59443;33165;JJ176;29;FOLIO vide ou non reconnu dans Acts CSV
59444;33166;JJ176;30;FOLIO vide ou non reconnu dans Acts CSV
59445;33166;JJ176;30;FOLIO vide ou non reconnu dans Acts CSV
59446;33167;JJ176;31;FOLIO vide ou non reconnu dans Acts CSV
59447;33167;JJ176;31;FOLIO vide ou non reconnu dans Acts CSV
59448;33168;JJ176;32;FOLIO vide ou non reconnu dans Acts CSV
